.63,9.48
1.74,0.25,9.52
1.70,0.23,9.50
1.67,0.24,9.64
1.73,0.26,9.38
1.72,0.24,9.46
1.70,0.27,9.55
1.73,0.24,9.47
1.74,0.25,9.48
1.74,0.25,9.52
1.70,0.23,9.50
1.67,0.24,9.64
1.73,0.26,9.38
1.72,0.24,9.46
1.70,0.27,9.55
1.73,0.24,9.47
1.74,0.25,9.48
1.74,0.25,90.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.79,0.21,9.28
1.00,0.09,9.58
0.93,0.05,9.75
1.16,0.02,9.61
0.98,0.07,9.67
1.12,0.10,9.60
1.08,0.04,9.70
1.30,0.08,9.54
1.09,0.00,9.72
1.32,0.06,9.61
1.31,0.05,9.53
1.37,0.05,9.59
1.13,0.00,9.86
1.14,0.04,9.72
1.00,0.00,9.89
1.11,0.07,9.67
1.05,0.05,9.67
1.21,0.12,9.55
1.18,0.00,9.68
1.31,0.02,9.53
1.17,0.00,9.75
1.29,0.06,9.64
1.16,0.09,9.56
1.24,0.17,9.57
1.05,0.12,9.80
1.24,0.19,9.58
1.23,0.11,9.72
1.33,0.08,9.55
1.31,0.06,9.64
1.43,0.11,9.56
1.35,0.00,9.77
1.43,0.04,9.60
1.24,0.06,9.84
1.36,0.11,9.66
1.33,0.08,9.53
1.28,0.22,9.52
1.29,0.13,9.57
1.37,0.07,9.60
1.35,0.10,9.69
1.47,0.01,9.60
1.34,0.02,9.68
1.44,0.07,9.73
1.21,0.00,9.76
1.26,0.13,9.75
1.28,0.09,9.79
1.24,0.15,9.59
1.23,0.22,9.52
1.29,0.27,9.54
1.07,0.21,9.59
1.24,0.18,9.59
1.25,0.15,9.74
1.39,0.14,9.62
1.39,0.08,9.61
1.47,0.07,9.58
1.39,0.03,9.71
1.33,0.09,9.66
1.28,0.04,9.74
1.37,0.16,9.61
1.29,0.10,9.61
1.41,0.13,9.59
1.49,0.14,9.61
1.31,0.15,9.58
1.17,0.11,9.80
1.45,0.12,9.60
1.39,0.02,9.56
1.48,0.09,9.61
1.44,0.06,9.71
1.35,0.09,9.73
1.36,0.10,9.72
1.48,0.13,9.63
1.44,0.09,9.60
1.46,0.16,9.60
1.37,0.11,9.70
1.47,0.16,9.55
1.45,0.10,9.68
1.42,0.07,9.68
1.37,0.07,9.64
1.42,0.13,9.63
1.37,0.07,9.63
1.47,0.11,9.48
1.35,0.09,9.57
1.35,0.10,9.67
1.27,0.07,9.54
1.77,0.14,9.60
1.96,0.21,8.90
1.91,0.55,9.16
1.64,0.07,9.57
1.38,-0.52,9.00
1.78,0.17,8.83
2.28,0.45,9.41
2.08,0.02,8.92
2.47,0.09,9.03
2.76,0.27,9.52
3.20,0.15,9.83
3.38,0.11,9.19
3.58,0.09,9.16
3.98,0.13,9.04
4.37,0.15,9.50
4.43,0.07,9.47
4.03,0.08,9.22
4.14,0.31,8.84
4.45,0.39,9.36
4.49,0.33,9.16
4.46,0.34,9.33
3.99,0.27,9.44
4.18,0.26,8.90
4.11,0.34,9.18
3.89,0.01,8.83
4.10,0.22,9.14
4.10,0.16,8.65
4.18,0.30,9.10
4.22,0.40,8.91
4.29,0.26,8.64
4.29,0.31,8.94
4.07,0.09,8.91
4.18,0.00,9.04
4.25,0.25,9.12
4.41,0.32,9.09
4.69,0.45,9.50
3.88,-0.03,8.73
4.29,0.28,9.67
4.59,0.15,8.49
4.33,0.25,8.71
3.70,0.23,9.02
3.87,0.10,8.44
3.93,0.32,9.56
4.85,0.49,8.86
3.78,0.02,8.38
4.01,0.36,9.34
4.24,0.31,9.57
4.07,0.15,8.81
4.15,-0.14,8.27
4.60,0.10,8.13
4.10,0.23,8.93
4.17,0.32,9.44
3.96,0.05,8.34
4.50,-0.18,8.62
4.73,0.13,8.62
5.20,0.20,9.48
4.96,0.09,9.05
5.10,0.31,9.92
5.16,0.04,10.09
5.31,0.20,8.35
5.05,-0.08,8.44
5.13,0.60,9.96
4.49,0.45,10.94
4.81,0.49,9.51
5.39,0.76,10.33
4.35,1.09,9.90
5.02,0.50,9.95
4.18,0.73,8.97
4.11,0.66,10.11
3.80,0.68,9.22
3.91,0.48,9.03
4.58,0.54,8.89
3.79,0.33,9.65
3.53,0.07,8.79
3.87,0.48,9.41
3.69,0.13,8.88
3.40,0.00,8.90
3.43,0.49,8.75
3.52,0.46,9.38
3.48,0.36,8.33
3.30,0.32,9.09
3.36,0.34,8.59
3.33,0.54,9.25
3.23,0.28,8.77
3.73,0.34,9.01
3.71,0.11,8.37
3.61,0.10,8.19
3.68,0.34,8.40
3.85,0.10,8.56
3.97,0.01,8.71
4.19,0.09,9.60
4.63,0.23,9.32
4.67,0.27,9.54
4.65,0.33,9.53
4.03,0.28,9.76
4.69,0.48,9.61
4.63,0.52,9.78
4.29,0.51,9.27
4.31,0.62,9.33
4.16,0.46,9.36
4.08,0.59,9.22
3.83,0.35,9.47
3.79,0.71,9.24
3.50,0.41,8.71
3.75,0.50,8.83
3.73,0.46,8.76
3.79,0.45,9.45
3.85,0.08,8.91
4.03,0.12,9.54
4.15,0.40,8.73
3.87,0.42,8.73
3.70,0.00,8.62
4.02,0.51,8.93
3.69,0.26,9.22
4.14,0.22,8.80
3.89,0.06,8.82
4.07,-0.01,8.33
4.12,-0.10,9.56
3.73,0.33,8.73
3.85,-0.07,8.56
4.22,0.13,7.70
3.88,0.22,8.79
4.28,-0.18,7.65
3.97,0.01,8.26
3.91,0.12,8.93
4.42,0.15,9.65
4.49,0.57,9.52
5.10,1.02,9.28
4.26,0.76,9.93
4.71,0.37,9.05
4.64,0.51,10.43
4.53,0.61,8.49
4.47,0.75,9.08
4.38,0.81,7.81
4.51,1.05,9.13
3.85,0.32,8.04
4.33,0.78,8.45
4.40,0.25,9.08
4.94,0.31,9.44
5.02,0.24,9.54
5.38,0.35,9.67
4.86,0.33,9.23
4.44,0.64,8.39
4.25,0.71,9.56
4.29,0.39,9.39
4.27,0.36,8.75
4.23,0.57,8.69
4.05,0.32,8.92
3.73,0.24,6.85
2.74,-0.48,7.82
3.22,0.10,7.50
3.57,0.17,8.16
3.44,-0.06,7.95
3.95,-0.19,10.08
4.08,0.18,9.38
4.00,0.26,8.22
3.52,-0.04,8.29
4.09,0.28,9.39
4.07,0.28,10.02
4.07,0.47,9.67
4.01,0.26,8.69
4.16,0.46,8.94
3.85,0.21,10.07
3.60,0.74,10.14
3.43,0.65,10.58
3.65,0.64,9.68
3.66,0.81,9.91
3.30,0.95,9.63
2.94,0.95,10.03
3.36,0.63,10.47
2.87,0.71,9.11
2.72,1.28,9.25
2.38,0.68,7.68
2.22,0.58,9.80
3.12,0.56,8.75
2.44,0.66,9.12
2.44,-0.22,8.92
2.71,0.13,9.55
2.51,-0.21,8.63
2.51,-0.19,8.25
2.21,-0.45,8.19
2.95,-0.49,8.73
3.25,-0.25,8.98
3.00,-0.59,10.30
3.61,0.18,10.50
2.36,-0.20,8.46
3.46,1.35,10.14
2.87,0.22,10.21
3.40,0.97,10.91
3.07,0.27,8.41
2.90,0.80,9.20
3.18,0.93,10.73
3.46,0.07,9.78
2.73,1.15,9.25
1.54,0.90,8.91
2.03,0.50,8.69
2.44,0.28,9.59
2.43,-0.21,7.25
2.46,0.24,9.72
2.26,-0.35,8.36
2.39,-0.13,9.92
2.43,-0.12,9.18
2.68,0.17,9.72
1.86,0.26,9.81
2.69,0.46,8.71
2.37,-0.02,10.34
2.90,0.05,9.90
2.25,0.24,10.28
2.37,-0.02,10.52
3.20,0.00,10.74
2.17,0.73,9.58
2.02,0.11,9.67
2.38,0.26,8.98
2.89,-0.09,10.47
3.05,0.48,9.21
3.38,1.01,10.88
2.96,0.49,9.97
3.15,0.55,9.56
3.23,0.99,8.88
3.69,0.63,9.47
2.95,-0.32,9.75
3.32,0.41,9.04
3.70,-0.09,9.22
3.25,0.00,8.72
3.45,-0.07,9.37
3.12,-0.24,8.32
3.55,0.69,8.90
2.99,-0.42,7.60
3.58,0.53,10.03
3.28,0.15,7.63
3.61,0.56,8.59
3.01,0.23,8.92
3.02,0.47,9.43
3.03,0.30,10.31
3.11,0.47,8.67
2.97,0.47,9.33
2.68,-0.02,9.06
2.74,0.06,9.89
3.62,-0.05,9.43
3.78,1.00,10.24
2.86,0.14,8.39
3.55,0.40,9.85
3.42,0.00,9.27
4.04,0.64,10.54
3.27,0.94,9.96
4.03,0.21,10.04
3.99,-0.14,9.81
3.19,0.29,9.72
3.41,0.50,10.20
3.22,0.21,9.29
2.88,0.00,9.29
2.77,0.05,8.66
2.12,0.22,9.86
2.12,0.12,9.04
1.93,0.08,9.32
1.53,-0.11,8.21
1.46,-0.09,8.04
1.03,-0.08,9.37
0.91,-0.11,8.59
0.55,0.51,9.80
0.48,0.36,9.84
0.49,0.08,9.54
0.32,0.01,9.94
0.16,0.05,9.66
0.16,-0.11,10.44
0.54,-0.41,8.81
0.94,-0.74,9.56
1.15,-0.22,9.01
1.40,-0.32,10.10
1.36,-0.22,9.52
1.35,-0.15,9.36
1.36,-0.33,9.90
1.49,-0.16,9.62
1.49,-0.04,9.67
1.59,0.36,10.05
1.02,-0.05,8.77
0.93,0.07,9.68
1.03,0.17,10.17
1.02,0.23,9.97
0.82,0.09,10.05
0.80,0.02,10.12
0.96,0.03,10.47
1.21,0.43,10.49
0.58,-0.01,10.04
0.91,0.00,9.85
1.32,0.08,10.26
1.58,0.35,9.85
0.88,0.09,9.59
1.00,-0.10,9.88
1.28,0.05,10.52
1.59,0.17,10.74
1.52,-0.34,10.37
2.65,-0.37,10.57
1.25,0.48,10.16
1.26,-0.11,10.31
2.72,-0.06,9.69
2.65,-0.30,9.59
2.62,0.15,9.88
2.80,0.13,9.61
2.64,0.16,9.53
2.72,0.19,8.67
2.95,0.07,8.15
3.34,0.27,8.01
3.46,0.21,8.59
3.28,-0.03,8.99
3.70,-0.09,10.22
3.44,-0.22,8.06
4.35,0.45,9.58
4.03,0.25,8.19
3.34,-0.23,9.11
2.95,-0.29,9.48
3.86,0.30,9.00
3.55,-0.11,8.93
3.31,-0.02,10.31
4.33,0.08,9.75
3.67,0.20,9.37
