9956,9.64,48414
-2.05,-0.20,9.52,48440
-2.02,-0.21,9.62,45,9.46,48339
-2.05,-0.19,9.68,48364
-2.09,-0.33,9.64,48390
-2.09,-0.36,9.64,48414
-2.05,-0.20,9.52,48440
-2.02,-0.21,9.62,48¶0.00,0.00,0.00,2784
0.00,0.00,0.00,2788
0.00,0.00,0.00,2791
0.00,0.00,0.00,2797
0.00,0.00,0.00,2819
0.00,0.00,0.00,2840
0.00,0.00,0.00,2863
0.00,0.00,0.00,2884
0.00,0.00,0.00,2906
0.00,0.00,0.00,2928
0.00,0.00,0.00,2950
0.00,0.00,0.00,2971
0.00,0.00,0.00,2994
0.00,0.00,0.00,3015
0.00,0.00,0.00,3037
0.00,0.00,0.00,3059
0.00,0.00,0.00,3081
0.00,0.00,0.00,3102
0.00,0.00,0.00,3125
0.00,0.00,0.00,3146
0.00,0.00,0.00,3168
0.00,0.00,0.00,3190
0.00,0.00,0.00,3212
0.00,0.00,0.00,3233
0.00,0.00,0.00,3256
0.00,0.00,0.00,3277
-2.20,-0.47,10.28,3302
-2.00,-0.23,9.37,3326
-2.02,-0.21,9.52,3350
-2.10,-0.31,9.44,3375
-2.01,-0.19,9.41,3398
-1.94,-0.19,9.44,3422
-2.09,-0.45,9.68,3446
-2.12,-0.43,9.56,3470
-2.05,-0.36,9.53,3493
-2.04,-0.21,9.46,3518
-2.04,-0.24,9.58,3542
-1.99,-0.29,9.32,3565
-1.97,-0.21,9.35,3590
-2.00,-0.18,9.48,3613
-2.07,-0.46,9.63,3637
-2.09,-0.38,9.47,3661
-2.04,-0.15,9.53,3685
-2.08,-0.20,9.53,3709
-2.11,-0.50,9.71,3733
-2.02,-0.18,9.62,3757
-2.03,-0.20,9.57,3781
-2.07,-0.35,9.54,3805
-2.07,-0.44,9.59,3828
-2.02,-0.15,9.47,3853
-2.09,-0.43,9.55,3876
-2.10,-0.46,9.65,3900
-2.00,-0.24,9.39,3924
-2.00,-0.17,9.63,3948
-2.12,-0.35,9.59,3972
-2.02,-0.21,9.43,3996
-1.99,-0.17,9.38,4020
-2.06,-0.19,9.62,4044
-2.08,-0.37,9.43,4068
-2.05,-0.40,9.47,4091
-2.03,-0.21,9.46,4116
-2.02,-0.24,9.59,4140
-2.06,-0.45,9.53,4163
-2.03,-0.21,9.56,4188
-2.05,-0.24,9.52,4211
-2.11,-0.46,9.70,4235
-2.08,-0.44,9.46,4259
-2.00,-0.12,9.47,4283
-2.11,-0.49,9.65,4307
-2.09,-0.53,9.75,4331
-1.97,-0.19,9.33,4355
-2.02,-0.17,9.59,4379
-2.07,-0.38,9.57,4403
-2.02,-0.14,9.41,4426
-2.03,-0.18,9.55,4451
-2.06,-0.19,9.54,4474
-2.10,-0.50,9.69,4498
-2.02,-0.24,9.34,4523
-2.01,-0.15,9.61,4546
-2.07,-0.35,9.53,4570
-2.08,-0.47,9.68,4594
-2.07,-0.45,9.54,4618
-2.08,-0.14,9.64,4642
-2.10,-0.53,9.61,4666
-2.03,-0.29,9.43,4689
-2.03,-0.15,9.45,4714
-2.01,-0.17,9.60,4738
-2.11,-0.49,9.55,4761
-2.02,-0.17,9.47,4786
-2.04,-0.14,9.48,4809
-2.09,-0.48,9.60,4833
-2.02,-0.18,9.55,4857
-2.00,-0.16,9.53,4881
-2.03,-0.28,9.55,4905
-2.10,-0.52,9.74,4929
-1.98,-0.17,9.40,4953
-2.07,-0.20,9.59,4977
-2.10,-0.47,9.68,5001
-2.05,-0.40,9.48,5024
-2.03,-0.30,9.36,5049
-2.04,-0.25,9.53,5072
-2.08,-0.52,9.68,5096
-1.97,-0.18,9.34,5121
-2.02,-0.21,9.64,5144
-2.06,-0.13,9.56,5168
-2.08,-0.40,9.57,5192
-2.00,-0.19,9.49,5216
-2.07,-0.23,9.61,5240
-2.09,-0.51,9.60,5264
-2.09,-0.50,9.68,5287
-2.02,-0.16,9.47,5312
-2.07,-0.33,9.58,5336
-2.08,-0.45,9.50,5359
-2.02,-0.16,9.45,5384
-2.02,-0.17,9.45,5407
-2.09,-0.50,9.65,5431
-2.03,-0.27,9.39,5455
-2.00,-0.17,9.40,5479
